"miRNA_ID"	"logFC"	"adj.P.Val"	"P.Value"	"t"
"hsa-miR-487b"	-0.732236299912285	0.055978302471778	6.31809282977178e-05	-4.73343359632098
"hsa-miR-378*"	-0.725707676383405	0.067995151143674	0.000211402479795864	-4.28173958213466
"hsa-miR-532-5p"	-0.995844055641035	0.067995151143674	0.000230231888748332	-4.2496913473356
"hsa-miR-24-2*"	-0.76211015422037	0.0682840394922762	0.000308280088001247	-4.13982837513332
"hsa-miR-127-3p"	-0.701425059014138	0.0715363680953808	0.000403704108890411	-4.03799529088175
