"Symbol"	"logFC"	"adj.P.Val"	"P.Value"	"t"
"FAM96A"	0.633153571428572	0.0191196673416345	4.91510245493672e-07	7.4694538869387
"HMBS"	0.389889285714286	0.0191196673416345	8.0806674872721e-07	7.21163965903628
"AIFM1"	0.360071428571429	0.0493394418990815	3.99167555683516e-06	6.41287483904939
"PAQR4"	0.699525	0.0493394418990815	5.12682035013383e-06	6.29145796743561
"FH"	0.398657142857143	0.0493394418990815	5.21316109833497e-06	6.28338913445661
"CISD1"	0.369507142857143	0.0963055365520206	1.22106677509852e-05	5.87740531730458
